22
 2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22
 1  5  8  7 11 10  9 12 15 14 13  6 16 18 21 19 20  4 17 22  3
 4  1  5 10  7 14 12 13 11 16 17 15 18 19 20 21 22  6  8  9  2
 3  7  1 11 15 19 13 16 21 18 14 20 10 17 12 22  5  2  9  6  8
 6  2  3  1 18 15 16 17 19 20 21 14 11 22  9 10  4 13  7  8 12
 5  9 12 14  1 22 21 20  7  8 16  2 19 10 18 15 17  3 13  4 11
 8  4  9  2  3  1 17 18  6 22 19 21 15 20 11 16 10 12  5 13 14
 7 11  2 15 19 17  1 10 13  6 18 16 20  9 14 12 21 22  3  5  4
10  6  7 18 14 11  2  1 17 12 20 19 22  8  5 13 15 21  4  3 16
 9 13 16  3 12  2 20  8  1 17 15 18  4  6 19  5  7 11 22 14 21
12  8 13  4  2  9 18 19  3  1 22 17  5 14  7 20 16 10 21 15  6
11 15  6 19 10 20  3  2 18  9  1 22 17 21  4  8 13  7 14 16  5
14 10 11 22 20 18  4  3  8 19  2  1 21 16 15  9 12  5  6  7 17
13 17 20  6  9  3 15 21 22  2  4  5  1 11  8 18 19 16 12 10  7
16 12 17  8  4  5 14 22  2 21 10  3  7  1 13  6  9 18 19 11 20
15 19 10 17 22 21  5  4 20  3  6  8  2 13  1  7 11 14 18 12  9
18 14 15 16 21  8  7  5  9 10  3 11 12  4 22  1  6 20  2 19 13
17 21 22  9  5 13 11  7 12  4  8 10  3  2  6 14  1 15 16 20 19
20 16 21 12  8  4 22 11  5 13  7  9  6  3 10  2 14  1 15 17 18
19 22 14 21 13 12 10  6 16  5  9  4  8  7  3 11  2 17  1 18 15
22 18 19 20 17 16  6 14  4 15  5  7 13 12  2  3  8  9 11  1 10
21 20 18 13 16  6 19 15 14  7 11 12  9  5 17  4  3  8 10  2  1
