18
 2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18
 1  5  8  7 11 10  9 12 17 14 18 15 13 16  3  4  6
 4  1  5 10  7 12 14  8 11 15  9  6 17 18  2 13 16
 3  7  1 11 15 14 12 17 18  6 10 16  9  5  8  2 13
 6  2  3  1 18 15 16 14 12 13  8  9 10  4 17  7 11
 5  9 12 14  1 18 13 10  7  4 17  3 15  8 11 16  2
 8  4  9  2  3  1 17 15  6 16 14 18 11 13 12  5 10
 7 11  2 15 10 16  1  3 13  9  5 12 18  6  4 14 17
10  6  7 18 13 11  2  1 16  8  3  5  4 17 14 12 15
 9 13 16  3  8  2 11  6  1 17  4 14  5 12 18 15  7
12  8 13  4  2  9 10 16  3  1 15 17  7 14  6 18  5
11 15  6 13 17  3  4  2  5 18  1  8 16 10  7  9 14
14 10 11 12  9 17  6 18  8  5 16  1  2  7 15  3  4
13 17 18  6 16  4  3  5 15  2  7 10  1 11  9  8 12
16 12 17  8  4  5 18  7 14  3 11  2  6  1 13 10  9
15 18 10 17 14  8  5 11  9  7 13  4 12  2  1  6  3
18 14 15 16 12 13  7  4  2 10  6 11  3  9  5  1  8
17 16 14  9  5  6 15 13  4 12  2  7  8  3 10 11  1
