20
 2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
 1  5  8  7 11 10 12 13 15  6 20 17 18 16  9 14  4  3 19
 4  1  5 10  7 12 13 20 11 15  9 16 17 19 14  8  6  2 18
 3  7  1 11 15 14 18 12  6 19 13  9 10 20 17  5  2  8 16
 6  2  3  1 18 16 17  8 19  9  7 20 15 14 12  4 11 13 10
 5  9 12 14  1 18 16 17  4  2 15 19  7  8 10 13  3 20 11
 8  4  9  2  3  1 20 16 17 13  5 11  6 10 19 15 14 18 12
 7 11  2 15 10  9  1  5 20 17 16 12 19  6 18  3 13  4 14
10  6  7 18 14  8 11  1 12  5  3  4 20 13  2 16 19 17 15
 9 13 16  3  8  2 14 19  1 20 17 15  4  7  6 18 12 11  5
12  8 13  4  2 20  9 14  3  1 18  7 16 17 15 19  5 10  6
11 15  6 19 17  3  2  4  9 14  1  8 13 18  5 20 10 16  7
14 10 11 16 19 15  3  2 18  7  4  1 12  9 20  6  8  5 17
13 17 20  6  9  4 10 11 16 12 19 18  1  5  3  2  7 15  8
16 12 17  8  4 13 19 18  2  3  6 10  5  1 11  7 20 14  9
15 19 10 13 20  5  6  7 14 18  8  3 11  2  1  9 17 12  4
18 14 15 20 12 19  5  6  7  8 10  2  3 11  4  1 16  9 13
17 20 19  9  5  6  4 15 13 16 11 14  2 12  8 10  1  7  3
20 16 18 12 13 17 15 10  5  4 14  6  8  3  7 11  9  1  2
19 18 14 17 16 11  7  3  8 10  2  5  9  4 13 12 15  6  1
